course_link,course_id,course_name,course_slug,reviews_id,1_star_reviews,2_star_reviews,3_star_reviews,4_star_reviews,5_star_reviews,total_reviews
https://www.coursera.org/learn/gcp-infrastructure-scaling-automation-fr,ZdKMxaWJEeiLXw4QLApQMg,Elastic Cloud Infrastructure: Scaling and Automation en Français,gcp-infrastructure-scaling-automation-fr,COURSE~ZdKMxaWJEeiLXw4QLApQMg,0,0,0,0,0,0
https://www.coursera.org/learn/gcp-infrastructure-scaling-automation-it,Jrh5ofY3EeuEcw6azz3PZQ,Elastic Cloud Infrastructure: Scaling & Automation italiano,gcp-infrastructure-scaling-automation-it,COURSE~Jrh5ofY3EeuEcw6azz3PZQ,0,0,0,0,0,0
https://www.coursera.org/learn/gcp-infrastructure-scaling-automation-jp,8LSYdqWJEeiMTA7YCiPMSg,Elastic Cloud Infrastructure: Scaling and Automation 日本語版,gcp-infrastructure-scaling-automation-jp,COURSE~8LSYdqWJEeiMTA7YCiPMSg,1,0,2,0,0,3
https://www.coursera.org/learn/gcp-infrastructure-scaling-automation-ko,_h5oewXDEey5zQ4LqE3elQ,Elastic Cloud Infrastructure: Scaling and Automation 한국어,gcp-infrastructure-scaling-automation-ko,COURSE~_h5oewXDEey5zQ4LqE3elQ,0,0,0,0,0,0
https://www.coursera.org/learn/gcp-production-ml-systems,BwuL5JwaEeigWgp_hi6FmA,Production Machine Learning Systems,gcp-production-ml-systems,COURSE~BwuL5JwaEeigWgp_hi6FmA,4,3,11,20,58,96
https://www.coursera.org/learn/gender-analytics-capstone,dLRm_qwSEeqbgwozoRkGew,Gender Analytics Capstone Project,gender-analytics-capstone,COURSE~dLRm_qwSEeqbgwozoRkGew,0,0,0,0,0,0
https://www.coursera.org/learn/gender-analytics-human-centered-design,L8zv3qwSEeq2gRJ8WvaF6Q,Human-Centered Design for Inclusive Innovation,gender-analytics-human-centered-design,COURSE~L8zv3qwSEeq2gRJ8WvaF6Q,0,0,0,2,23,25
https://www.coursera.org/learn/gender-analytics-inclusive-analytics,F1CgHqwSEeq0MQ4yzY_A1Q,Inclusive Analytic Techniques,gender-analytics-inclusive-analytics,COURSE~F1CgHqwSEeq0MQ4yzY_A1Q,0,0,0,1,9,10
https://www.coursera.org/learn/gender-analytics-innovation,kKiUXKwREeq-PQrrb92w1w,Gender Analytics for Innovation,gender-analytics-innovation,COURSE~kKiUXKwREeq-PQrrb92w1w,0,0,1,5,43,49
https://www.coursera.org/learn/gender-analytics-transformational-leadership,Xz5TCKwSEeq-thK_Hum5cw,Transformational Leadership for Inclusive Innovation,gender-analytics-transformational-leadership,COURSE~Xz5TCKwSEeq-thK_Hum5cw,0,0,0,1,8,9
https://www.coursera.org/learn/gender-art,gWFmbrP9EeW-cQqGkhsQ8w,Sexing the Canvas: Art and Gender,gender-art,COURSE~gWFmbrP9EeW-cQqGkhsQ8w,0,3,4,20,78,105
https://www.coursera.org/learn/gender-based-violence,6Ot9qdTjEeWvEArBkQ8C9Q,Confronting Gender Based Violence: Global Lessons for Healthcare Workers,gender-based-violence,COURSE~6Ot9qdTjEeWvEArBkQ8C9Q,0,1,2,11,67,81
https://www.coursera.org/learn/gender-sexuality,jg1qx1m3Eea6OBIvyzcuGw,Gender and Sexuality: Diversity and Inclusion in the Workplace,gender-sexuality,COURSE~jg1qx1m3Eea6OBIvyzcuGw,8,4,4,33,186,235
https://www.coursera.org/learn/general-academic-english,4a0Cj_K-EeiLSg5ne7arXg,General Academic English,general-academic-english,COURSE~4a0Cj_K-EeiLSg5ne7arXg,5,0,2,3,13,23
https://www.coursera.org/learn/general-chemistry,Ijr8rurHEeSb-yIACwuKNg,General Chemistry: Concept Development and Application,general-chemistry,COURSE~Ijr8rurHEeSb-yIACwuKNg,7,3,6,39,158,213
https://www.coursera.org/learn/generalized-linear-models-and-nonparametric-regression,XwJR7jioEeqP1g6x55It5w,Generalized Linear Models and Nonparametric Regression,generalized-linear-models-and-nonparametric-regression,COURSE~XwJR7jioEeqP1g6x55It5w,0,0,0,0,2,2
https://www.coursera.org/learn/generative-deep-learning-with-tensorflow,g-R8QhMsEeuRAgoabXSoTw,Generative Deep Learning with TensorFlow,generative-deep-learning-with-tensorflow,COURSE~g-R8QhMsEeuRAgoabXSoTw,0,0,1,4,28,33
https://www.coursera.org/learn/generative-design-additive-manufacturing,z9IkgXgWEemcDgqxMcjw6A,Generative Design for Additive Manufacturing,generative-design-additive-manufacturing,COURSE~z9IkgXgWEemcDgqxMcjw6A,0,0,1,7,46,54
https://www.coursera.org/learn/generative-design-industrial-applications,Y0Gh_XgWEemDFA76c8GyjA,Generative Design for Industrial Applications,generative-design-industrial-applications,COURSE~Y0Gh_XgWEemDFA76c8GyjA,0,0,2,4,15,21
https://www.coursera.org/learn/generative-design-part-consolidation,KRdixngXEemDFA76c8GyjA,Generative Design for Part Consolidation,generative-design-part-consolidation,COURSE~KRdixngXEemDFA76c8GyjA,0,0,0,0,13,13
https://www.coursera.org/learn/generative-design-performance-weight-reduction,T0CEvXgXEemIRQ6O2S9PmA,Generative Design for Performance and Weight Reduction,generative-design-performance-weight-reduction,COURSE~T0CEvXgXEemIRQ6O2S9PmA,1,0,0,3,16,20
https://www.coursera.org/learn/genero-igualdad,wo2dQ9UHEeuQPgr6ug5Y-w,Conceptos básicos para la igualdad de género,genero-igualdad,COURSE~wo2dQ9UHEeuQPgr6ug5Y-w,0,1,3,8,89,101
https://www.coursera.org/learn/genes,gbsG0MYYEeSsuSIAC8uEUA,Genes and the Human Condition (From Behavior to Biotechnology),genes,COURSE~gbsG0MYYEeSsuSIAC8uEUA,5,3,9,29,167,213
https://www.coursera.org/learn/genetic-epidemiology,-vwROeU9EemxcA6MYUxOhg,Genetic Epidemiology Foundations,genetic-epidemiology,COURSE~-vwROeU9EemxcA6MYUxOhg,1,1,0,1,3,6
https://www.coursera.org/learn/genetic-lab,U91KyvVIEeWXlhKbABJa6Q,遗传学实验,genetic-lab,COURSE~U91KyvVIEeWXlhKbABJa6Q,0,0,0,0,1,1
https://www.coursera.org/learn/genetics-evolution,k9p3Qh8kEeWP0w4yK2369w,Introduction to Genetics and Evolution,genetics-evolution,COURSE~k9p3Qh8kEeWP0w4yK2369w,3,2,4,32,329,370
https://www.coursera.org/learn/genetics-society,3r_VmUhHEeWk9g4dP2hYVQ,Genetics and Society: A Course for Educators,genetics-society,COURSE~3r_VmUhHEeWk9g4dP2hYVQ,1,1,1,9,30,42
https://www.coursera.org/learn/geng-nian-qi,Q9urcdfwEeStziIAC2gVQw,更年期综合管理,geng-nian-qi,COURSE~Q9urcdfwEeStziIAC2gVQw,0,0,0,3,3,6
https://www.coursera.org/learn/genome-sequencing,V2Rnzt9KEeWVFwqmKx7D2Q,Genome Sequencing (Bioinformatics II),genome-sequencing,COURSE~V2Rnzt9KEeWVFwqmKx7D2Q,3,1,6,13,42,65
https://www.coursera.org/learn/genomic-data,X_CuLfb0EeWfYgqbi1xsdw,Genomic Data Science and Clustering (Bioinformatics V),genomic-data,COURSE~X_CuLfb0EeWfYgqbi1xsdw,3,1,2,4,12,22
https://www.coursera.org/learn/genomic-tools,uiT8U5oIEeWQGBKrxISOrQ,Command Line Tools for Genomic Data Science,genomic-tools,COURSE~uiT8U5oIEeWQGBKrxISOrQ,21,12,28,31,55,147
https://www.coursera.org/learn/genomics-for-law,7yXHdAq8EeiO3Q55exG9ag,Genomics for Law,genomics-for-law,COURSE~7yXHdAq8EeiO3Q55exG9ag,0,1,0,5,21,27
https://www.coursera.org/learn/genomics-research,EH3eAfteEeWfYgqbi1xsdw,Genomics: Decoding the Universal Language of Life,genomics-research,COURSE~EH3eAfteEeWfYgqbi1xsdw,5,5,1,5,59,75
https://www.coursera.org/learn/genre,Xr4n5w7WEeeiThJuAhkCcA,"Genre : quels enjeux ? Violences, globalisation, biomédecine, sexualités.",genre,COURSE~Xr4n5w7WEeeiThJuAhkCcA,0,0,0,6,78,84
https://www.coursera.org/learn/geodesign,hAyhDM-IEeWWPA4Ee96j6Q,Geodesign: Change Your World,geodesign,COURSE~hAyhDM-IEeWWPA4Ee96j6Q,0,0,0,4,13,17
https://www.coursera.org/learn/geographie-politique-culturelle-frontieres,y2NOaokrEeWSMw6QLoDNsQ,Frontières en tous genres,geographie-politique-culturelle-frontieres,COURSE~y2NOaokrEeWSMw6QLoDNsQ,2,0,0,1,4,7
https://www.coursera.org/learn/geomatique,Yo-AmZ7hEeWVBgpelZA5Jw,Éléments de Géomatique,geomatique,COURSE~Yo-AmZ7hEeWVBgpelZA5Jw,0,0,0,10,36,46
https://www.coursera.org/learn/geometra-analtica-preuniversitaria,QY6i1tAnEeqRXxLy_St02Q,Geometría Analítica Preuniversitaria,geometra-analtica-preuniversitaria,COURSE~QY6i1tAnEeqRXxLy_St02Q,0,0,0,1,1,2
https://www.coursera.org/learn/geometric-algorithms,HgkJY4M6Eeehbwo96zvH1A,Geometric Algorithms,geometric-algorithms,COURSE~HgkJY4M6Eeehbwo96zvH1A,0,0,1,0,2,3
https://www.coursera.org/learn/geopolitica-e-seus-movimentos-interculturais,Zc5XLAmoEeyfCRK_crecDw,Geopolítica e seus Movimentos Interculturais,geopolitica-e-seus-movimentos-interculturais,COURSE~Zc5XLAmoEeyfCRK_crecDw,0,0,0,0,0,0
https://www.coursera.org/learn/geopoliticaygobernanzaglobal,BPAnFSl4EeWbhg7tBrEPHw,Geopolítica y gobernanza global: riesgos y oportunidades,geopoliticaygobernanzaglobal,COURSE~BPAnFSl4EeWbhg7tBrEPHw,4,2,6,59,489,560
